/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_39_957.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_39_957.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_39_957.jpg,0,1,0,30,19029
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_037.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_037.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_037.jpg,0,1,0,30,19029
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_115.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_115.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_115.jpg,0,1,0,30,19029
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_189.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_189.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_189.jpg,0,1,0,30,1903
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_261.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_261.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_261.jpg,0,1,0,30,19031
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_336.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_336.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_336.jpg,-0,004694836,1,0,30,19023
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_412.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_412.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_412.jpg,-0,004694836,1,0,30,19032
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_486.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_486.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_486.jpg,-0,004694836,1,0,30,1903
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_559.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_559.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_559.jpg,-0,004694836,1,0,30,19022
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_632.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_632.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_632.jpg,-0,004694836,1,0,30,1903
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_705.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_705.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_705.jpg,-0,004694836,1,0,30,19029
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_781.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_781.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_781.jpg,-0,009389671,1,0,30,19029
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_857.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_857.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_857.jpg,-0,01408451,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_40_930.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_40_930.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_40_930.jpg,-0,01877934,1,0,30,19025
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_005.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_005.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_005.jpg,-0,01877934,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_084.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_084.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_084.jpg,-0,01877934,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_161.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_161.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_161.jpg,-0,01877934,1,0,30,19028
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_235.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_235.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_235.jpg,-0,01877934,1,0,30,19028
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_307.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_307.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_307.jpg,-0,01877934,1,0,30,19029
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_377.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_377.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_377.jpg,-0,01877934,1,0,30,19028
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_447.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_447.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_447.jpg,-0,01877934,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_520.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_520.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_520.jpg,-0,02347418,1,0,30,19025
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_589.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_589.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_589.jpg,-0,02347418,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_660.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_660.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_660.jpg,-0,02347418,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_727.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_727.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_727.jpg,-0,02816901,1,0,30,19016
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_797.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_797.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_797.jpg,-0,02816901,1,0,30,18988
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_867.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_867.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_867.jpg,-0,02816901,1,0,30,18987
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_41_939.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_41_939.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_41_939.jpg,-0,02816901,1,0,30,19023
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_019.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_019.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_019.jpg,-0,02816901,1,0,30,18986
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_090.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_090.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_090.jpg,-0,02816901,1,0,30,19001
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_162.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_162.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_162.jpg,-0,02816901,1,0,30,19013
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_233.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_233.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_233.jpg,-0,02816901,1,0,30,1902
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_305.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_305.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_305.jpg,-0,02816901,1,0,30,19022
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_379.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_379.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_379.jpg,-0,02816901,1,0,30,19023
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_456.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_456.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_456.jpg,-0,02816901,1,0,30,19023
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_531.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_531.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_531.jpg,-0,02816901,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_605.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_605.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_605.jpg,-0,02816901,1,0,30,19028
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_684.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_684.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_684.jpg,-0,02816901,1,0,30,19027
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_764.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_764.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_764.jpg,-0,02816901,1,0,30,19032
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_847.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_847.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_847.jpg,-0,02816901,1,0,30,19035
/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/center_2018_05_13_15_10_42_929.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/left_2018_05_13_15_10_42_929.jpg,/home/ramdoot/MachineLearning/CarND-Behavioral-Cloning-P3/data1/IMG/right_2018_05_13_15_10_42_929.jpg,-0,02816901,1,0,30,19036
